epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1566.75,1.47234,2.07214,0.99083,1.13209,0.82262,0.85106,0.88821,0.50895,0.78413,0.6956,0.71163,0.21923,1.4871,2.22518,1.0483,1.20644,0.0010496,0.0010496,0.0010496
98,1582.41,1.49409,2.08918,1.05861,1.13015,0.82262,0.85106,0.88821,0.50895,0.78413,0.6956,0.71163,0.21923,1.4871,2.22518,1.0483,1.20644,0.0010397,0.0010397,0.0010397
99,1599.82,1.47016,2.03009,1.11939,1.14306,0.82262,0.85106,0.88821,0.50895,0.78413,0.6956,0.71163,0.21923,1.4871,2.22518,1.0483,1.20644,0.0010298,0.0010298,0.0010298
100,1616.38,1.45895,2.13433,1.01841,1.11295,0.81932,0.8617,0.89868,0.51151,0.75252,0.74403,0.74214,0.22255,1.48643,2.14427,1.06027,1.19953,0.0010199,0.0010199,0.0010199
101,1632.52,1.49309,2.28283,1.14673,1.16814,0.81932,0.8617,0.89868,0.51151,0.75252,0.74403,0.74214,0.22255,1.48643,2.14427,1.06027,1.19953,0.00101,0.00101,0.00101
102,1649.52,1.49038,2.11614,1.06351,1.11371,0.81932,0.8617,0.89868,0.51151,0.75252,0.74403,0.74214,0.22255,1.48643,2.14427,1.06027,1.19953,0.0010001,0.0010001,0.0010001
103,1666.43,1.55369,2.23685,1.0779,1.153,0.81992,0.82348,0.89225,0.48097,0.75462,0.75532,0.7117,0.19987,1.55449,2.24532,1.0867,1.21156,0.0009902,0.0009902,0.0009902
104,1682.73,1.45635,2.14789,1.03446,1.12598,0.81992,0.82348,0.89225,0.48097,0.75462,0.75532,0.7117,0.19987,1.55449,2.24532,1.0867,1.21156,0.0009803,0.0009803,0.0009803
105,1698.75,1.46676,2.20941,1.05245,1.14169,0.83031,0.8329,0.88851,0.48745,0.75005,0.7234,0.66721,0.19388,1.57346,2.28341,1.08077,1.22175,0.0009704,0.0009704,0.0009704
106,1714.96,1.5443,2.25773,1.11322,1.13944,0.83031,0.8329,0.88851,0.48745,0.75005,0.7234,0.66721,0.19388,1.57346,2.28341,1.08077,1.22175,0.0009605,0.0009605,0.0009605
107,1732.32,1.51742,2.22589,1.00296,1.09956,0.83031,0.8329,0.88851,0.48745,0.75005,0.7234,0.66721,0.19388,1.57346,2.28341,1.08077,1.22175,0.0009506,0.0009506,0.0009506
108,1749.81,1.49036,2.11091,1.00339,1.08741,0.8479,0.82979,0.91117,0.50972,0.67992,0.74575,0.68246,0.19186,1.5138,2.23856,1.03914,1.20443,0.0009407,0.0009407,0.0009407
109,1766.37,1.49431,2.19533,1.08371,1.14387,0.8479,0.82979,0.91117,0.50972,0.67992,0.74575,0.68246,0.19186,1.5138,2.23856,1.03914,1.20443,0.0009308,0.0009308,0.0009308
110,1783.28,1.43616,2.02962,1.01087,1.10933,0.8479,0.82979,0.91117,0.50972,0.67992,0.74575,0.68246,0.19186,1.5138,2.23856,1.03914,1.20443,0.0009209,0.0009209,0.0009209
111,1800.47,1.42249,2.0773,1.01339,1.11727,0.8725,0.80082,0.90434,0.51916,0.76735,0.69149,0.70694,0.21034,1.46825,2.1899,1.02042,1.18916,0.000911,0.000911,0.000911
112,1816.77,1.40283,2.1725,1.07411,1.12315,0.8725,0.80082,0.90434,0.51916,0.76735,0.69149,0.70694,0.21034,1.46825,2.1899,1.02042,1.18916,0.0009011,0.0009011,0.0009011
113,1834.43,1.41346,2.07536,1.02594,1.12049,0.92029,0.78723,0.90385,0.5003,0.86058,0.72236,0.7973,0.23902,1.48846,2.12014,1.03185,1.20028,0.0008912,0.0008912,0.0008912
114,1851.44,1.51771,2.11362,1.03126,1.09237,0.92029,0.78723,0.90385,0.5003,0.86058,0.72236,0.7973,0.23902,1.48846,2.12014,1.03185,1.20028,0.0008813,0.0008813,0.0008813
115,1867.18,1.47556,2.1034,1.06899,1.14335,0.92029,0.78723,0.90385,0.5003,0.86058,0.72236,0.7973,0.23902,1.48846,2.12014,1.03185,1.20028,0.0008714,0.0008714,0.0008714
116,1884.26,1.39432,2.03141,1.01905,1.11677,0.87663,0.80851,0.89709,0.513,0.82168,0.7353,0.80382,0.25147,1.48327,2.0873,1.03144,1.19899,0.0008615,0.0008615,0.0008615
117,1901.09,1.50306,2.18633,0.98389,1.09786,0.87663,0.80851,0.89709,0.513,0.82168,0.7353,0.80382,0.25147,1.48327,2.0873,1.03144,1.19899,0.0008516,0.0008516,0.0008516
118,1918.71,1.43312,2.11027,0.96268,1.12354,0.87663,0.80851,0.89709,0.513,0.82168,0.7353,0.80382,0.25147,1.48327,2.0873,1.03144,1.19899,0.0008417,0.0008417,0.0008417
119,1936.04,1.4399,2.12591,1.01897,1.13429,0.86628,0.84043,0.89533,0.51422,0.80674,0.78723,0.79965,0.24497,1.44663,2.06427,1.00171,1.193,0.0008318,0.0008318,0.0008318
120,1952.32,1.41867,2.02221,1.05183,1.10376,0.86628,0.84043,0.89533,0.51422,0.80674,0.78723,0.79965,0.24497,1.44663,2.06427,1.00171,1.193,0.0008219,0.0008219,0.0008219
121,1969.8,1.40592,2.14786,0.99011,1.10372,0.85519,0.81672,0.8853,0.50543,0.77471,0.75532,0.7583,0.23952,1.44611,2.04778,1.0078,1.19479,0.000812,0.000812,0.000812
122,1986.73,1.4225,2.02541,1.02384,1.12744,0.85519,0.81672,0.8853,0.50543,0.77471,0.75532,0.7583,0.23952,1.44611,2.04778,1.0078,1.19479,0.0008021,0.0008021,0.0008021
